benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
mxint8_add,MXINT8,V1,8,fixed,nominal,2,12346,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'fail': 1, 'solved': 6, 'timeout': 23}",30,4432.8700842466205,180.2735130842775,3349798,4553.854854822159,32,0,0,65.142,15.3511,491.2352,0.9962000000000001,1.2038891064453126,111.984375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_8b_r02.npz
mxint8_add,MXINT8,V1,8,fixed,nominal,3,12347,0,solved,solved,True,5,30,5,5,0,0,0,25,0,False,"{'fail': 3, 'solved': 5, 'timeout': 22}",30,4215.1589193772525,180.26686686649919,2573346,4336.354864835739,41,0,0,-1,-1,-1.0,1.0,1.063322080078125,2.5,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_8b_r03.npz
mxint8_add,MXINT8,V1,8,staged,nominal,1,12345,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'solved': 6, 'timeout': 48}",54,9058.348391814157,180.28174374625087,4683702,9179.761128664017,76,0,0,59.478,16.8129,1277.7803999999999,1.0,0.674575771484375,3.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r01.npz
mxint8_add,MXINT8,V1,8,staged,nominal,2,12346,0,solved,solved,True,5,30,3,3,1,1,2,25,0,True,"{'fail': 2, 'infeasible': 2, 'solved': 6, 'timeout': 51}",61,9807.278475135565,180.26004789583385,4675490,9928.083728790283,49,0,0,61.793,16.1831,792.9719,1.0,0.90858423828125,5.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r02.npz
mxint8_add,MXINT8,V1,8,staged,nominal,3,12347,0,solved,solved,True,6,30,5,5,1,0,1,24,0,True,"{'fail': 3, 'infeasible': 4, 'solved': 6, 'timeout': 44}",57,8279.843103155494,180.24881378747523,3076424,8401.087201356888,41,0,0,64.029,15.6179,640.3339,1.0,1.063698046875,2.5,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v1_staged_r03.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3199.585349045694,180.1704303305596,1059576,3330.8859198093414,50,0,0,45.169,22.1391,1106.955,1.0,1.562335068359375,3.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_4b_r01.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,2,12346,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'infeasible': 13, 'solved': 16, 'timeout': 1}",30,599.5270967725664,180.1561504174024,1237487,720.3796377182007,66,0,0,45.169,22.1391,1461.1806,1.0,1.429167734375,3.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_4b_r02.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 11, 'solved': 15, 'timeout': 4}",30,1370.3113659135997,180.15760695561767,1660652,1496.1153688430786,85,0,0,43.812,22.8248,1940.108,1.0,0.101879248046875,1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_4b_r03.npz
mxint8_add,MXINT8,V2,5,fixed,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'infeasible': 4, 'solved': 14, 'timeout': 12}",30,2894.165220519528,180.1715056542307,2017785,3017.2789738178253,79,0,0,45.169,22.1391,1748.9888999999998,1.0,0.046801240234375,0.375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_5b_r01.npz
mxint8_add,MXINT8,V2,5,fixed,nominal,2,12346,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'infeasible': 13, 'solved': 16, 'timeout': 1}",30,859.5020405668765,180.15423093177378,1931381,981.7532243728638,80,0,0,43.812,22.8248,1825.984,1.0,0.114099228515625,1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_5b_r02.npz
mxint8_add,MXINT8,V2,5,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 11, 'solved': 15, 'timeout': 4}",30,1374.150431290269,180.1611157618463,1664604,1496.8947494029999,97,0,0,43.812,22.8248,2214.0056,1.0,0.101075576171875,1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_5b_r03.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3282.767698386684,180.17708234116435,1467328,3402.2816874980927,78,0,0,45.169,22.1391,1726.8498,1.0,0.074039541015625,0.5,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_6b_r01.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,2,12346,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 20, 'solved': 10}",30,64.91517718881369,16.663430435582995,382695,184.00746822357178,105,0,0,45.869,21.8012,2289.126,1.0,0.0604288671875,0.75,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_6b_r02.npz
mxint8_add,MXINT8,V2,6,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 19, 'solved': 9, 'timeout': 2}",30,718.5027056913823,180.1686050388962,1296131,840.6838121414185,49,0,0,42.012,23.8027,1166.3323,1.0,0.02958392578125,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_6b_r03.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3357.6461949050426,180.16731036640704,1627669,3480.712581396103,73,0,0,42.569,23.4913,1714.8649,1.0,0.04612404296875,0.375,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_7b_r01.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 21, 'solved': 9}",30,274.3761866353452,135.51763158105314,1159765,396.67850399017334,82,0,0,40.791,24.5152,2010.2464,1.0,0.0009599853515625,95.99853515625,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_7b_r02.npz
mxint8_add,MXINT8,V2,7,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 19, 'solved': 9, 'timeout': 2}",30,778.09608152695,180.16664653643966,1493794,899.2359840869904,69,0,0,45.869,21.8012,1504.2828000000002,1.0,0.029365380859375,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_7b_r03.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,1,12345,0,solved,solved,True,13,30,13,13,0,0,0,17,0,False,"{'fail': 5, 'solved': 13, 'timeout': 12}",30,2889.372080322355,180.18162782490253,3127610,3008.610347509384,66,0,0,39.226,25.4933,1682.5578,1.0,0.029203857421875,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_8b_r01.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 21, 'solved': 9}",30,172.09125897102058,86.71095679886639,1163677,291.7590363025665,82,0,0,40.791,24.5152,2010.2464,1.0,0.0,0.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_8b_r02.npz
mxint8_add,MXINT8,V2,8,fixed,nominal,3,12347,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 19, 'solved': 9, 'timeout': 2}",30,616.7857200000435,180.18056778796017,1493860,736.7965993881226,69,0,0,45.869,21.8012,1504.2828000000002,1.0,0.02933560546875,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_8b_r03.npz
mxint8_add,MXINT8,V2,8,staged,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'fail': 5, 'infeasible': 10, 'solved': 14, 'timeout': 22}",51,4861.828538740054,180.1832252908498,3849977,4981.743381500244,66,0,0,39.226,25.4933,1682.5578,1.0,0.0291737109375,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_staged_r01.npz
mxint8_add,MXINT8,V2,8,staged,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 21, 'infeasible': 42, 'solved': 9}",72,456.6037187855691,132.4748765602708,2534647,576.1207416057587,82,0,0,40.791,24.5152,2010.2464,1.0,0.0,0.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_staged_r02.npz
mxint8_add,MXINT8,V2,8,staged,nominal,3,12347,0,solved,solved,True,10,30,9,9,0,1,1,20,0,True,"{'fail': 19, 'infeasible': 36, 'solved': 10, 'timeout': 6}",71,1563.5540605504066,180.16551565937698,1791711,1683.6332712173462,69,0,0,45.869,21.8012,1504.2828000000002,1.0,0.02961904296875,0.25,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_small/error_samples/mxint8_add_v2_staged_r03.npz
