benchmark,dtype,variant,relax_mode,budget,match_bits,n_reps,solve_rate,mean_accepted,mean_accepted_strict,mean_accepted_final_strict,mean_accepted_stage1,mean_accepted_stage0,mean_accepted_used_relaxation,mean_true_skips,mean_invalid_gt_skips,frac_reps_with_relaxation,mean_solver_attempts,mean_solver_runtime_total,mean_enum_count_total,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,mean_wall_seconds
mxint8_add,MXINT8,V1,fixed,nominal,4,3,1.0,12.333333333333334,12.333333333333334,12.333333333333334,0,0,0,17.666666666666668,0,0.0,30,4071.6780574185154,4734272.333333333,0.9999,47,,,,4142.20236603419
mxint8_add,MXINT8,V1,fixed,nominal,5,3,1.0,11.666666666666666,11.666666666666666,11.666666666666666,0,0,0,18.333333333333332,0,0.0,30,4103.792065201948,4396723.333333333,0.9998,43,56.208,17.7911,871.7639,4225.595863501231
mxint8_add,MXINT8,V1,fixed,nominal,6,3,1.0,8,8,8,0,0,0,22,0,0.0,30,4430.980782211448,3006805.3333333335,1.0,45.666666666666664,61.054,16.4747,754.2125666666666,4552.876129150391
mxint8_add,MXINT8,V1,fixed,nominal,7,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4764.799091581255,2997954.3333333335,1.0,62,55.01733333333333,18.286966666666668,1129.227,4889.576154947281
mxint8_add,MXINT8,V1,fixed,nominal,8,3,1.0,5.666666666666667,5.666666666666667,5.666666666666667,0,0,0,24.333333333333332,0,0.0,30,4460.702450553576,3535615.3333333335,0.9987333333333334,49.666666666666664,65.142,15.3511,491.2352,4582.069138447444
mxint8_add,MXINT8,V1,staged,nominal,8,3,1.0,5.666666666666667,4.666666666666667,4.666666666666667,0.6666666666666666,0.3333333333333333,1,24.333333333333332,0,0.6666666666666666,57.333333333333336,9048.489990035072,4145205.3333333335,1.0,55.333333333333336,61.766666666666666,16.204633333333334,903.6954,9169.64401960373
mxint8_add,MXINT8,V2,fixed,nominal,4,3,1.0,13.666666666666666,13.666666666666666,13.666666666666666,0,0,0,16.333333333333332,0,0.0,30,1723.1412705772866,1319238.3333333333,1.0,67,44.71666666666666,22.367666666666665,1502.7478666666666,1849.1269754568737
mxint8_add,MXINT8,V2,fixed,nominal,5,3,1.0,15,15,15,0,0,0,15,0,0.0,30,1709.2725641255577,1871256.6666666667,1.0,85.33333333333333,44.26433333333333,22.596233333333334,1929.6595,1831.9756491978962
mxint8_add,MXINT8,V2,fixed,nominal,6,3,1.0,9.666666666666666,9.666666666666666,9.666666666666666,0,0,0,20.333333333333332,0,0.0,30,1355.3951937556267,1048718,1.0,77.33333333333333,44.35,22.581,1727.4360333333334,1475.657655954361
mxint8_add,MXINT8,V2,fixed,nominal,7,3,1.0,9.333333333333334,9.333333333333334,9.333333333333334,0,0,0,20.666666666666668,0,0.0,30,1470.0394876891125,1427076,1.0,74.66666666666667,43.07633333333333,23.269233333333332,1743.1313666666667,1592.2090231577556
mxint8_add,MXINT8,V2,fixed,nominal,8,3,1.0,10.333333333333334,10.333333333333334,10.333333333333334,0,0,0,19.666666666666668,0,0.0,30,1226.083019764473,1928382.3333333333,1.0,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,1345.7219944000244
mxint8_add,MXINT8,V2,staged,nominal,8,3,1.0,11,10.666666666666666,10.666666666666666,0,0.3333333333333333,0.3333333333333333,19,0,0.3333333333333333,64.66666666666667,2293.9954393586763,2725445,1.0,72.33333333333333,41.961999999999996,23.936566666666668,1732.3623333333335,2413.83246477445
