benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
mxint8_add,MXINT8,V1,8,fixed,nominal,2,12346,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'fail': 1, 'solved': 6, 'timeout': 23}",30,4445.59922571294,180.27832253277302,3349798,4567.229798078537,32,0,0,65.142,15.3511,491.2352,0.13,35.8120971484375,176.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_8b_r02.npz
mxint8_add,MXINT8,V1,8,fixed,nominal,3,12347,0,solved,solved,True,5,30,5,5,0,0,0,25,0,False,"{'fail': 3, 'solved': 5, 'timeout': 22}",30,4207.173990914598,180.270367404446,2573346,4329.2745995521545,41,0,0,64.029,15.6179,640.3339,0.1484,32.087535,160.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_8b_r03.npz
mxint8_add,MXINT8,V1,8,staged,nominal,1,12345,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'solved': 6, 'timeout': 48}",54,9065.38784023188,180.2899538334459,4683702,9188.02710366249,76,0,0,59.478,16.8129,1277.7803999999999,0.30519999999999997,18.53212421875,128.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_staged_r01.npz
mxint8_add,MXINT8,V1,8,staged,nominal,2,12346,0,solved,solved,True,5,30,3,3,1,1,2,25,0,True,"{'fail': 2, 'infeasible': 2, 'solved': 6, 'timeout': 51}",61,9805.409670252353,180.2592948153615,4675490,9927.331490755081,49,0,0,61.793,16.1831,792.9719,0.1705,26.67194419433594,160.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_staged_r02.npz
mxint8_add,MXINT8,V1,8,staged,nominal,3,12347,0,solved,solved,True,6,30,5,5,1,0,1,24,0,True,"{'fail': 3, 'infeasible': 4, 'solved': 6, 'timeout': 44}",57,8289.596949145198,180.242158876732,3076424,8411.100667953491,41,0,0,64.029,15.6179,640.3339,0.1494,32.06469921875,160.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v1_staged_r03.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,1,12345,0,solved,solved,True,10,30,10,10,0,0,0,20,0,False,"{'infeasible': 4, 'solved': 10, 'timeout': 16}",30,3205.509760670364,180.1717271078378,1059576,3341.7985758781433,50,0,0,45.169,22.1391,1106.955,0.1336,56.431136875,192.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_4b_r01.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,2,12346,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'infeasible': 13, 'solved': 16, 'timeout': 1}",30,587.5147479325533,180.0580882318318,1237487,709.2194030284882,66,0,0,45.169,22.1391,1461.1806,0.3081,48.06540875,192.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_4b_r02.npz
mxint8_add,MXINT8,V2,4,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 11, 'solved': 15, 'timeout': 4}",30,1374.1826891545206,180.1489203106612,1660652,1511.5183432102203,85,0,0,43.812,22.8248,1940.108,0.6918000000000001,6.724384375,72.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_4b_r03.npz
mxint8_add,MXINT8,V2,5,fixed,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'infeasible': 4, 'solved': 14, 'timeout': 12}",30,2881.9630534220487,180.17027734220028,2017785,3005.3541662693024,79,0,0,45.169,22.1391,1748.9888999999998,0.8187000000000001,3.07254125,48.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_5b_r01.npz
mxint8_add,MXINT8,V2,5,fixed,nominal,2,12346,0,solved,solved,True,16,30,16,16,0,0,0,14,0,False,"{'infeasible': 13, 'solved': 16, 'timeout': 1}",30,852.3319710977376,180.06001500971615,1931381,975.41863322258,80,0,0,43.812,22.8248,1825.984,0.5945,13.1393884375,76.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_wide/error_samples/mxint8_add_v2_5b_r02.npz
