benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
fp32_add,FP32,V1,32,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 1, 'solved': 9, 'timeout': 20}",30,4287.885265795514,180.17340300790966,17960491,4388.920181512833,331,0,0,133.316,7.501,2482.831,0.0874,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_32b_r02.npz
fp32_add,FP32,V1,32,fixed,nominal,3,12347,0,solved,solved,True,6,30,6,6,0,0,0,24,0,False,"{'fail': 1, 'solved': 6, 'timeout': 23}",30,4441.641555126756,180.16927851736546,8235692,4542.607045650482,331,0,0,133.316,7.501,2482.831,0.0874,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_32b_r03.npz
fp32_add,FP32,V1,32,staged,nominal,1,12345,0,solved,solved,True,8,30,4,4,0,4,4,22,0,True,"{'fail': 1, 'infeasible': 2, 'solved': 8, 'timeout': 50}",61,9620.935796452686,180.18276946619153,15484205,9716.856929779053,102,0,0,33.542,29.8134,3040.9668,0.0259,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_staged_r01.npz
fp32_add,FP32,V1,32,staged,nominal,2,12346,0,solved,solved,True,8,30,5,5,0,3,3,22,0,True,"{'fail': 1, 'infeasible': 2, 'solved': 8, 'timeout': 48}",59,9257.047148590907,180.1834178864956,15473498,9357.35670876503,285,0,0,139.063,7.191,2049.435,0.0374,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_staged_r02.npz
fp32_add,FP32,V1,32,staged,nominal,3,12347,0,solved,solved,True,8,30,5,5,0,3,3,22,0,True,"{'fail': 1, 'infeasible': 2, 'solved': 8, 'timeout': 48}",59,9252.332101721317,180.18456775136292,15484614,9352.643747091293,285,0,0,139.063,7.191,2049.435,0.0374,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v1_staged_r03.npz
fp32_add,FP32,V2,24,fixed,nominal,1,12345,0,solved,solved,True,12,30,12,12,0,0,0,18,0,False,"{'infeasible': 8, 'solved': 12, 'timeout': 10}",30,2171.1448232587427,180.151839569211,5845205,2270.3350439071655,388,0,0,239.292,4.179,1621.452,0.7387999999999999,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_24b_r01.npz
fp32_add,FP32,V2,24,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'infeasible': 10, 'solved': 9, 'timeout': 11}",30,2036.557638451457,180.14809972792864,689974,2138.8571751117706,320,0,0,133.316,7.501,2400.32,0.0033,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_24b_r02.npz
fp32_add,FP32,V2,24,fixed,nominal,3,12347,0,solved,solved,True,12,30,12,12,0,0,0,18,0,False,"{'infeasible': 8, 'solved': 12, 'timeout': 10}",30,1914.75220092386,180.1525743547827,1161889,2014.4871056079865,426,0,0,239.292,4.179,1780.2540000000001,0.7362000000000001,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_24b_r03.npz
fp32_add,FP32,V2,32,fixed,nominal,1,12345,0,solved,solved,True,12,30,12,12,0,0,0,18,0,False,"{'fail': 8, 'solved': 12, 'timeout': 10}",30,2087.7581001743674,180.15595906414092,5845205,2186.808279275894,388,0,0,239.292,4.179,1621.452,0.7387999999999999,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_r01.npz
fp32_add,FP32,V2,32,fixed,nominal,2,12346,0,solved,solved,True,9,30,9,9,0,0,0,21,0,False,"{'fail': 10, 'solved': 9, 'timeout': 11}",30,2025.1815143376589,180.14683194458485,689974,2127.4762604236603,320,0,0,133.316,7.501,2400.32,0.0033,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_add_v2_32b_r02.npz
