benchmark,dtype,variant,relax_mode,budget,match_bits,n_reps,solve_rate,mean_accepted,mean_accepted_strict,mean_accepted_final_strict,mean_accepted_stage1,mean_accepted_stage0,mean_accepted_used_relaxation,mean_true_skips,mean_invalid_gt_skips,frac_reps_with_relaxation,mean_solver_attempts,mean_solver_runtime_total,mean_enum_count_total,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,mean_wall_seconds
fp32_add,FP32,V1,fixed,nominal,9,3,1.0,9.666666666666666,9.666666666666666,9.666666666666666,0,0,0,20.333333333333332,0,0.0,30,4187.7908471984165,15708096.666666666,0.2427,90,52.715500000000006,23.2269,2090.421,4268.241824229558
fp32_add,FP32,V1,fixed,nominal,19,3,1.0,7,7,7,0,0,0,23,0,0.0,30,2771.9455733615905,7426211,0.003933333333333334,370,133.316,7.501,2775.3700000000003,2873.7465077241263
fp32_add,FP32,V1,fixed,nominal,24,3,1.0,7,7,7,0,0,0,23,0,0.0,30,2771.33187081106,7426211,0.003933333333333334,370,133.316,7.501,2775.3700000000003,2873.0140885512033
fp32_add,FP32,V1,fixed,nominal,28,3,1.0,7,7,7,0,0,0,23,0,0.0,30,2774.1899613824985,7426211,0.003933333333333334,370,133.316,7.501,2775.3700000000003,2876.1165405114493
fp32_add,FP32,V1,fixed,nominal,32,3,1.0,7.333333333333333,7.333333333333333,7.333333333333333,0,0,0,22.666666666666668,0,0.0,30,4366.684016669169,12557397.333333334,0.0874,331,133.316,7.501,2482.831,4467.573192675908
fp32_add,FP32,V1,staged,nominal,32,3,1.0,8,4.666666666666667,4.666666666666667,0,3.3333333333333335,3.3333333333333335,22,0,1.0,59.666666666666664,9376.77168225497,15480772.333333334,0.03356666666666667,224,103.88933333333333,14.7318,2379.9456,9475.619128545126
fp32_add,FP32,V2,fixed,nominal,24,3,1.0,11,11,11,0,0,0,19,0,0.0,30,2040.81822087802,2565689.3333333335,0.4927666666666667,378,203.96666666666667,5.286333333333333,1934.0086666666668,2141.2264415423074
fp32_add,FP32,V2,fixed,nominal,32,3,1.0,11,11,11,0,0,0,19,0,0.0,30,1997.5152532861878,2565689.3333333335,0.4927666666666667,378,203.96666666666667,5.286333333333333,1934.0086666666668,2097.934741258621
fp32_add,FP32,V2,fixed,stress,32,3,1.0,3,3,3,0,0,0,7,0,0.0,10,3.4912957114477954,74912,0.002,41,,,,98.53419224421184
fp32_add,FP32,V2,staged,nominal,32,3,1.0,16.333333333333332,15,15,0,1.3333333333333333,1.3333333333333333,13.666666666666666,0,1.0,52.333333333333336,4167.908809629579,5907574.333333333,0.8180333333333333,400,239.292,4.179,1671.6000000000001,4267.056789557139
fp32_add,FP32,V2,staged,stress,32,3,1.0,6,5,5,0,1,1,4,0,1.0,22,9.403233754138151,208320,0.7314,340,239.292,4.179,1420.8600000000001,106.7025625705719
fp32_mul,FP32,V1,fixed,nominal,9,3,1.0,29,29,29,0,0,0,1,0,0.0,30,11.821742088223496,78592.33333333333,0.1265,34,87.283,11.457,389.538,107.44238821665446
fp32_mul,FP32,V1,fixed,nominal,19,3,1.0,14.666666666666666,14.666666666666666,14.666666666666666,0,0,0,15.333333333333334,0,0.0,30,3239.464725609248,7937405,0.9046,21,87.283,11.457,240.597,3334.6862618128457
fp32_mul,FP32,V1,fixed,nominal,24,3,1.0,14.666666666666666,14.666666666666666,14.666666666666666,0,0,0,15.333333333333334,0,0.0,30,3245.1462786700577,7957313.666666667,0.9046,21,87.283,11.457,240.597,3340.327122370402
fp32_mul,FP32,V1,fixed,nominal,28,3,1.0,14.666666666666666,14.666666666666666,14.666666666666666,0,0,0,15.333333333333334,0,0.0,30,3249.7230298047266,8003118,0.9046,21,87.283,11.457,240.597,3345.0562148094177
fp32_mul,FP32,V1,fixed,nominal,32,3,1.0,11.666666666666666,11.666666666666666,11.666666666666666,0,0,0,18.333333333333332,0,0.0,30,2538.287279314051,2388123,0.6698,20.666666666666668,104.637,9.702333333333334,210.458,2633.664799451828
fp32_mul,FP32,V1,staged,nominal,32,3,1.0,11.666666666666666,9.333333333333334,9.333333333333334,0,2.3333333333333335,2.3333333333333335,18.333333333333332,0,0.6666666666666666,58,6034.558858608206,5067922.333333333,0.7414000000000001,18.666666666666668,87.283,11.457,213.86400000000003,6129.7814292907715
fp32_mul,FP32,V2,fixed,nominal,24,3,1.0,30,30,30,0,0,0,0,0,0.0,30,1.612749884525935,4140,0.9046,24.666666666666668,87.283,11.457,282.606,96.60422484079997
fp32_mul,FP32,V2,fixed,nominal,32,3,1.0,30,30,30,0,0,0,0,0,0.0,30,1.928591476753354,9829,0.9046,32,87.283,11.457,366.624,96.96464618047078
fp32_mul,FP32,V2,fixed,stress,32,3,1.0,10,10,10,0,0,0,0,0,0.0,10,0.438682038957874,1244,0.9046,28.333333333333332,87.283,11.457,324.615,95.56159615516663
