benchmark,synth_target,component,timeout,num_iterations,repetition,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,enum_count_primary_last,wall_seconds,random_seed,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,accuracy_exact_match,within_rel_pct,abs_err_avg,abs_err_max,summary_path,log_path
mxint8_add_v1,mxint8_add,full_sum_v2,30,10,1,0,solved,solved,True,4,10,10,207.77957994490862,30.05851093865931,243192,140097,326.5491409301758,42,44,0,0,49.366,20.2569,891.3036000000001,-1.0,0.603,11.2576078125,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r01.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,10,2,0,solved,solved,True,4,10,10,154.26516976766288,30.058594699949026,75817,43062,270.1011960506439,43,18,0,0,137.874,7.253,130.554,-1.0,0.11109999999999999,41.9009471875,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r02.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,10,3,0,solved,solved,True,5,10,10,115.15680842660367,30.0600172765553,392734,195381,232.61363744735718,44,65,0,0,45.773,21.8469,1420.0485,-1.0,0.16,29.318261484375,112.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i10_r03.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,15,1,0,solved,solved,True,5,15,15,349.94383386708796,30.05850926786661,409376,166184,467.633282661438,42,44,0,0,49.366,20.2569,891.3036000000001,-1.0,0.6004999999999999,11.26991,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r01.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,15,2,0,solved,solved,True,6,15,15,261.8764369059354,30.05990581959486,278680,103452,380.1338543891907,43,31,0,0,98.445,10.158,314.89799999999997,-1.0,0.5897,30.8329259375,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r02.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,15,3,0,solved,solved,True,6,15,15,257.54208332672715,30.059284929186106,633558,240824,376.0966567993164,44,47,0,0,49.254,20.3029,954.2363,-1.0,0.23850000000000002,22.35173640625,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i15_r03.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,20,1,0,solved,solved,True,5,20,20,498.83708036504686,30.060228725895286,409376,166184,617.6747660636902,42,44,0,0,49.366,20.2569,891.3036000000001,-1.0,0.5978,11.39956921875,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r01.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,20,2,0,solved,solved,True,8,20,20,383.83036533370614,30.059415582567453,614440,227073,501.2038154602051,43,31,0,0,98.445,10.158,314.89799999999997,-1.0,0.588,31.141834375,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r02.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r02.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,20,3,0,solved,solved,True,6,20,20,406.89168349839747,30.070167617872357,633558,240824,525.9661288261414,44,47,0,0,49.254,20.3029,954.2363,-1.0,0.2371,22.4162128125,144.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r03.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i20_r03.log
mxint8_add_v1,mxint8_add,full_sum_v2,30,30,1,0,solved,solved,True,6,30,30,800.3887827284634,30.06389202736318,614193,204817,918.8178932666779,42,44,0,0,49.366,20.2569,891.3036000000001,-1.0,0.601,11.26437859375,56.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i30_r01.json,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/hyperparameter_sweep/fine_v3/raw/mxint8_add_v1_t30_i30_r01.log
