benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,composite_score
fp32_add_combined,10,5,3,3,1.0,2.682580403983593,50.2312236626943,1.0,,0.0374,116.0,0.0003224137931034483
fp32_add_combined,10,15,3,3,1.0,21.199595999593537,70.44120875994365,6.333333333333333,,0.21363333333333334,510.0,0.0004188888888888889
fp32_add_combined,10,30,3,3,1.0,164.88562185751894,214.6374832789103,9.666666666666666,,0.44226666666666664,734.0,0.0006025431425976384
fp32_add_combined,60,5,3,3,1.0,2.664292151108384,50.23825844128927,1.0,,0.0374,116.0,0.0003224137931034483
fp32_add_combined,60,15,3,3,1.0,58.38333776406944,107.69020700454712,6.333333333333333,,0.21363333333333334,510.0,0.0004188888888888889
fp32_add_combined,60,30,3,3,1.0,698.0736108279476,747.8633966445923,12.0,,0.46196666666666664,698.3333333333334,0.0006615274463007159
fp32_add_combined,300,5,3,3,1.0,2.682307900240024,50.23925765355428,1.0,,0.0374,116.0,0.0003224137931034483
fp32_add_combined,300,15,3,3,1.0,218.46993849985301,267.66328199704486,6.333333333333333,,0.21363333333333334,510.0,0.0004188888888888889
fp32_add_combined,300,30,3,3,1.0,3018.94356078282,3068.700551430384,12.333333333333334,,0.48323333333333335,662.6666666666666,0.0007292253521126762
fp32_add_sub,10,5,3,3,1.0,0.08506059770782788,1.100002368291219,5.0,,,,
fp32_add_sub,10,15,3,3,1.0,0.2865240778774023,1.7260514100392659,15.0,,,,
fp32_add_sub,10,30,3,3,1.0,0.6564786906043688,3.066685756047567,30.0,,,,
fp32_add_sub,60,5,3,3,1.0,0.08618043114741643,1.1022802988688152,5.0,,,,
fp32_add_sub,60,15,3,3,1.0,0.2850775495171547,1.7179241975148518,15.0,,,,
fp32_add_sub,60,30,3,3,1.0,0.655671980852882,3.0461400349934897,30.0,,,,
fp32_add_sub,300,5,3,3,1.0,0.08605227929850419,1.10367751121521,5.0,,,,
fp32_add_sub,300,15,3,3,1.0,0.28096585472424823,1.707864761352539,15.0,,,,
fp32_add_sub,300,30,3,3,1.0,0.6636814145992199,3.052741845448812,30.0,,,,
fp32_mul_combined,10,5,3,3,1.0,0.19063822800914446,45.26923402150472,5.0,,0.9046,87.0,0.010397701149425287
fp32_mul_combined,10,15,3,3,1.0,0.7190799290935198,45.99324973424276,15.0,,0.9046,140.0,0.006461428571428571
fp32_mul_combined,10,30,3,3,1.0,1.826265726859371,46.985379139582314,30.0,,0.9046,140.0,0.006461428571428571
fp32_mul_combined,60,5,3,3,1.0,0.19112114732464155,45.19770129521688,5.0,,0.9046,87.0,0.010397701149425287
fp32_mul_combined,60,15,3,3,1.0,0.7167780374487241,45.8468648592631,15.0,,0.9046,140.0,0.006461428571428571
fp32_mul_combined,60,30,3,3,1.0,1.8223953402290742,47.01302178700765,30.0,,0.9046,140.0,0.006461428571428571
fp32_mul_combined,300,5,3,3,1.0,0.1909686177968979,45.2177931467692,5.0,,0.9046,87.0,0.010397701149425287
fp32_mul_combined,300,15,3,3,1.0,0.7181198913604021,45.877488692601524,15.0,,0.9046,140.0,0.006461428571428571
