benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,mean_fmax_mhz,mean_latency_ns,mean_adp_lut_ns,accuracy_best_pct,area_best_luts,latency_best_ns,adp_best_lut_ns_ref,accuracy_retention,accuracy_loss_pct,area_norm_to_best,latency_norm_to_best,adp_norm_to_best,area_overhead_pct,latency_overhead_pct,adp_overhead_pct,is_pareto,is_recommended,selection_reason,hw_quality_candidate,hw_quality_exclusion_reason
mxint8_add_sub,30,30,3,3,1.0,0.21379699868460497,18.399890581766766,5.333333333333333,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,60,15,3,3,1.0,0.10606515407562256,2.7327071030934653,3.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,60,30,3,3,1.0,0.21368123963475227,18.3427890141805,5.333333333333333,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,180,15,3,3,1.0,0.10523993335664272,2.7358486652374268,3.0,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_sub,180,30,3,3,1.0,0.2149729666610559,18.348647594451904,5.333333333333333,,,,,,,,,,,,,,,,,,,False,False,,False,missing_accuracy+luts+latency+adp
mxint8_add_v2,30,15,3,3,1.0,130.37685436879596,248.2176969051361,8.0,,0.6752333333333334,80.0,44.949999999999996,,,0.8202333333333333,80.0,22.1391,1909.959,0.8232210346649328,17.677896533506715,1.0,,,0.0,,,False,False,,False,missing_latency+adp
mxint8_add_v2,30,30,3,3,1.0,557.9442448609819,676.0857729911804,10.666666666666666,,0.7013999999999999,82.66666666666667,44.949999999999996,,,0.8202333333333333,80.0,22.1391,1909.959,0.8551225261104564,14.487747388954366,1.0333333333333334,,,3.3333333333333393,,,False,False,,False,missing_latency+adp
mxint8_add_v2,60,15,3,3,1.0,216.21693063961962,335.2208998998006,8.666666666666666,,0.8186,83.66666666666667,43.85,,,0.8202333333333333,80.0,22.1391,1909.959,0.9980086967123177,0.1991303287682283,1.0458333333333334,,,4.583333333333339,,,False,False,,False,missing_latency+adp
mxint8_add_v2,60,30,3,3,1.0,1116.2166700741898,1235.3339913686116,9.666666666666666,,0.8202333333333333,83.66666666666667,43.85,22.1391,2280.3273,0.8202333333333333,80.0,22.1391,1909.959,1.0,0.0,1.0458333333333334,1.0,1.1939142672696115,4.583333333333339,0.0,19.391426726961146,True,False,,True,
mxint8_add_v2,180,15,3,3,1.0,418.86564203662175,538.0609786510468,9.333333333333334,,0.8032,84.0,43.85,22.818399999999997,1909.959,0.8202333333333333,80.0,22.1391,1909.959,0.9792335514284555,2.0766448571544562,1.05,1.0306832707743312,1.0,5.0,3.068327077433129,0.0,True,True,Pareto-optimal; within 1.00 ppt of best accuracy (0.8202); minimum ADP among remaining candidates,True,
